,0
In112m,7.612383129873708e-09
In113m,4.479792510892633e-08
In114,5.672335922070268e-10
In114m,1.6630008544516973e-08
In114n,4.161254968048083e-08
In115m,2.729478449439237e-08
In116,5.489223211123964e-11
In116m,6.481138178570069e-07
In116n,9.487170255717217e-09
In117,1.2310479023895265e-07
In117m,1.3678824253511804e-08
In118,2.003465175027114e-08
In118m,6.881350122771561e-07
In118n,1.4870098844903715e-08
In119,1.6986511625691715e-07
In119m,2.9511243337034403e-09
In120,6.571658021735479e-08
In120m,7.305726529907905e-07
In120n,7.305726529907905e-07
In121,2.1660209777879664e-07
In121m,1.6158269583614073e-08
In122,1.7365040281577407e-07
In122m,8.29248707589119e-07
In122n,8.29248707589119e-07
In123,2.618588204694177e-07
In123m,9.035888472546413e-09
In124,7.57284465133379e-07
In124m,8.70376986807784e-07
In125,3.1150768587210675e-07
In125m,1.8193350073940522e-08
In126,8.172403713258314e-07
In126m,1.088566382855502e-06
In127,3.025439339925351e-07
In127m,1.1323245203466399e-07
In128,9.094703375360132e-07
In129,5.694125859950147e-07
In129m,6.929672778747072e-08
In130,9.154254516153649e-07
In130m,5.998605227087202e-07
In130n,8.207346838646489e-07
In131,7.466387015890888e-07
In132,1.7476880692819595e-06
Sn104,4.006043460238272e-07
Sn106,2.481439024279591e-07
Sn107,2.0425261971671797e-06
Sn108,1.1968843466427534e-07
Sn109,6.07500257482549e-07
Sn110,4.5383078012070976e-08
Sn111,1.1136259693988488e-07
Sn113,7.840033348903649e-09
Sn113m,5.348502841507264e-09
Sn117m,2.078968500233948e-08
Sn119m,4.251534338953974e-09
Sn121m,1.6634565591445914e-09
Sn123,1.728795540150402e-09
Sn123m,1.5152165907639682e-08
Sn125,8.3210961889581e-08
Sn125m,5.576912518342246e-08
Sn126,7.960736696884239e-09
Sn127,4.605245295130866e-07
Sn127m,1.16836591492076e-07
Sn128,1.1876487067694926e-07
Sn128m,4.929497712400358e-07
Sn129,3.2179931573051397e-07
Sn129m,4.0288306873031575e-07
Sn130,1.838670029467582e-07
Sn130m,1.900916806744722e-07
Sn131,1.1854439431951763e-06
Sn131m,3.8845170944482583e-07
Sn132,2.835852424835052e-07
Sn133,8.093631718229633e-08
Sb109,4.066350645258306e-07
Sb110,9.088052094388191e-07
Sb111,2.851497541044335e-07
Sb112,6.626126494478575e-07
Sb113,2.519842656561094e-07
Sb114,6.320510586671935e-07
Sb115,1.730181906407869e-07
Sb116,5.737914194247545e-07
Sb116m,7.548047643817902e-07
Sb117,2.7649958523889335e-08
Sb118,1.566820903197101e-07
Sb118m,6.337632158828198e-07
Sb119,8.88138343535693e-09
Sb120,9.086828259004734e-08
Sb120m,5.868226217342226e-07
Sb122,8.868499007606783e-08
Sb122m,1.3423866775372524e-08
Sb124,4.616963421825366e-07
Sb124m,8.764449607865204e-08
Sb124n,3.1309616097287354e-13
Sb125,8.420941497188829e-08
Sb126,5.821388916826275e-07
Sb126m,3.2225548619590343e-07
Sb126n,1.2807228148809886e-11
Sb127,1.4092030717074453e-07
Sb128,6.478552894115033e-07
Sb128m,3.9579466898638794e-07
Sb129,3.2373826736189136e-07
Sb129m,3.1659163742605414e-07
Sb130,6.844351608205079e-07
